#--------------------------------------------------------------
   748   -0.125    0.576  140.133 
   749   -0.084    0.582  140.492 
   750   -0.487    0.592  136.328 
   751   -0.639    0.595  126.928 
   752   -0.506    0.581  144.280 
   753    0.665    0.599  133.633 
   754    1.154    0.587  140.661 
   755    0.059    0.603  139.460 
   756    0.932    0.595  145.210 
   757   -0.014    0.590  148.769 
   758   -0.371    0.597  150.346 
   759   -1.432    0.588  142.567 
   760   -1.152    0.588  158.624 
   761   -1.916    0.608  159.008 
   762   -1.932    0.606  139.748 
   763   -2.048    0.595  121.381 
   764   -1.890    0.598  142.556 
   765   -1.145    0.602  134.017 
   766    0.142    0.591  140.698 
   767    0.532    0.602  118.444 
   768    1.042    0.591  119.640 
   769    2.062    0.587  142.681 
   770    2.112    0.593  156.220 
   771    1.773    0.596  128.730 
   772    1.857    0.594  144.314 
   773    1.513    0.599  126.819 
   774    1.678    0.589  128.961 
   775    1.211    0.591  128.427 
   776    0.383    0.604  154.284 
   777    0.337    0.601  135.963 
   778    0.267    0.583  166.600 
   779   -0.976    0.600  133.884 
   780   -0.537    0.608  166.054 
   781    0.422    0.602  123.126 
   782    0.251    0.614  104.199 
   783    0.269    0.605  129.076 
   784    0.184    0.595  141.743 
   785    0.692    0.604  103.532 
   786    1.556    0.601  129.215 
   787    1.367    0.591  122.339 
   788    1.431    0.584  108.106 
   789    1.435    0.593  122.715 
   790   -0.152    0.586  121.954 
   791    0.267    0.583  134.578 
   792   -0.942    0.597   91.330 
   793   -1.216    0.597  118.023 
   794   -0.942    0.591   95.012 
   795   -1.734    0.594   83.477 
   796   -1.870    0.597   93.182 
   797   -0.768    0.592   99.671 
   798   -0.783    0.599  137.050 
   799   -0.492    0.591  100.716 
   800   -0.336    0.601  133.324 
   801    0.204    0.600  147.935 
   802    0.551    0.606  118.503 
   803    0.460    0.603  109.817 
   804   -0.064    0.597  109.569 
   805    0.747    0.589  101.964 
   806    0.587    0.597  109.549 
   807   -0.553    0.606   84.494 
   808   -1.047    0.609   87.017 
   809   -1.117    0.616   93.813 
   810   -0.711    0.596  105.647 
   811   -0.647    0.615   94.292 
   812   -0.904    0.614  124.460 
   813   -0.510    0.616  103.689 
   814   -0.975    0.615   97.175 
   815   -0.136    0.615   95.000 
   816   -0.290    0.617  100.409 
   817    0.245    0.601  110.036 
   818    0.093    0.613   96.927 
   819    0.135    0.607  102.230 
   820    0.061    0.609   82.819 
   821    0.213    0.609   99.428 
   822    0.023    0.616  117.541 
   823   -0.328    0.611  104.400 
   824   -1.418    0.611  113.992 
   825   -1.226    0.611  126.347 
   826   -1.624    0.617  107.383 
   827   -0.945    0.617  100.374 
   828   -1.792    0.620   84.503 
   829   -0.744    0.602   98.246 
   830   -0.147    0.605   91.763 
   831    0.479    0.606   91.140 
   832    1.031    0.608   99.859 
   833    1.661    0.598   88.803 
   834    1.279    0.603   85.466 
   835    1.239    0.615   95.522 
   836    1.364    0.635   97.178 
   837    1.172    0.611  119.464 
   838    0.715    0.615   99.448 
   839    0.068    0.609  113.394 
   840    0.037    0.613   86.307 
   841    0.676    0.622   94.856 
